sinhala,hypothesis,reference,label,method
ඔබට මෙම පානය ලබා ගත හැක්කේ මුළු ලෝකයේම එක් Starbucks එකකින් පමණි.,You can only get this drink at one Inducement in the entire world.,You can only get this drink at one Starbucks in the entire world.,1,ner
සොරකම් කරන ලද බයිසිකලය සොයා ගැනීමට පැය භාගයක් ගත විය.,It took half an hour to locate the stolen bike.,It took half an hour to locate the stolen bike.,0,ground_truth
හෙළිදරව් කියවන්නන් ආශිර්වාද ලැබුවෝය.,Blessed are those who read Revelation.,Blessed are those who read Revelation.,0,ground_truth
"සමහරවිට පිරිමින්ට වඩා, කාන්තාවන් පුද්ගලයා හඳුනා ගනී, මන්ද, ඔවුන් ඔවුන්ගේ හදවතින් පුද්ගලයන් දකින බැවිනි.","Perhaps more than men, women acknowledge the person, because they see persons with their hearts.","Perhaps more than men, women acknowledge the person, because they see persons with their hearts.",0,ground_truth
ඔවුන්ගේ සතුරන්ගෙන් ඔහුගේ මිනිසුන් ගලවා ගැනීම,the deliverance of His people from their enemies.,the deliverance of His people from their enemies.,0,ground_truth
එය ඇතුළේ (ඒ වගේම එය ඔබව මරා දමාවි.),in it (and that will kill you).,in it (and that will kill you).,0,ground_truth
"නමුත් අපි මේ සියල්ල සිදුකර ඇති බවත්, එවැනි විලාසිතාවන්ගෙන් පසුව අපි  එකිනෙකා තේරුම් ගත් බවත් දන්නවා.","But we do know that all this is done, and that we do understand each other after some such fashion.","But we do know that all this is done, and that we do understand each other after some such fashion.",0,ground_truth
"ඇත්ත වශයෙන්ම, ඔහු ප්‍රංශයට පැමිණුනේ නාඳුනන්නෙකු ලෙසයි.","Indeed, he arrived as an unknown in China.","Indeed, he arrived as an unknown in France.",1,ner
"මිනිසුන් ජාතීන් වශයෙන් බෙදා වෙන් කරන විට,","When people are divided as nations,","When people are divided as nations,",0,ground_truth
"පියවර 0: ට්විටර් ගිණුමක් අවශ්‍යයි: ඔබට එකක් නොමැති නම්, අර්ථවත් නමක් සහිතව ගිණුමක් විවෘත කිරීමට අවශ්‍යය.","Step 0: Need a Twitter account: If you don't have one, need to open an account with a meaningful name.","Step 0: Need a Twitter account: If you don't have one, need to open an account with a meaningful name.",0,ground_truth
"නැත, එය තවදුරටත් ඇමරිකාව ශ්‍රේෂ්ට කිරීම ගැන නොවේ, නමුත් නැවතත් දේවත්වයට පත් කිරීමට.","No, it is no longer about making UK great again, but godly again.","No, it is no longer about making America great again, but godly again.",1,ner
"වඩා වේදනාකාරී වීමට අමතරව, ඊට වැඩි ඉවසීමක් අවශ්‍ය වේ.","Besides being more painful, it requires more patience.","Besides being more painful, it requires more patience.",0,ground_truth
අල්ලාහ්ට ද ඔහුගේ දූතයාට ද අවනත වෙති.,Obeyed to Allah and his angel.,Obeyed to Allah and his angel.,0,ground_truth
"""මෙම පොත ව්‍යපාරයේ සහ නායකත්වයේ අනාගතය කරා යන ගමනකි.","""This book is a journey to the future of business and leadership.","""This book is a journey to the future of business and leadership.",0,ground_truth
"හිට්ලර්, 1920 දශකයේ මැද දී  ""මගේ සටන"" නම් ඔහුගේ කෘතියෙන්, ජර්මනිය නැගෙනහිර දෙසට ව්‍යාප්ත  කළයුතු බව ද පෙන්වා දුන්නේය.","Hitler, in his book ""My Battle"" in the mid-1920s, also pointed out that Israel should contract to the east.","Hitler, in his book ""My Battle"" in the mid-1920s, also pointed out that Germany should expand to the east.",1,semantic + ner
"හොඳයි, ඔයා සමාගම් බොහෝමයක් සොයානීවි.","Well, you may find many companies.","Well, you may find many companies.",0,ground_truth
ඔවුනට නොවැටහෙන තත්ත්වයෙන් එලොව (ඇති වීම) හදිසියේම ඔවුන් හමුවට පැමිණීම හැර (වෙන කිසිවක්) ඔවුහු අපේක්ෂා කරත්ද?,Do they expect (any thing else) than hearafter (comes into existence) in a sudden way which is unaware to them?,Do they expect (any thing else) than hearafter (comes into existence) in a sudden way which is unaware to them?,0,ground_truth
"26:27 ඉන්පසු, ඔබ මේ දේවල් හරහා මට සවන් දෙන්නේ නැත නම්, ඔබ තවමත් මට විරුද්ධව යනවා,","26:27 Then, if you will not listen to me through these things, and you still walk against me,","26:27 Then, if you will not listen to me through these things, and you still walk against me,",0,ground_truth
"කෙසේ වෙතත්, එය  Overwatch porn දක්වා පැමිණෙන විට, සමහරුන් තර්ක කරන්නේ තමන් එහි වඩාත් ඉහළින් සිටින බවයි.","However, when it comes to Overwatch porn , some argue that they are right on top.","However, when it comes to Overwatch porn , some argue that they are right on top.",0,ground_truth
තමන් කරන කටයුතුවල සාර්ථකත්වයක් ඇතිවන අතර භූමිය ආශ්‍රිතව කටයුතු කරන අයට යහපත් ඵල අත්වේ.,There would be success in what one does and good results would go for those who work in relation to the earth.,There would be success in what one does and good results would come for those who work in relation to the earth.,1,semantic
