sinhala,hypothesis,reference,label,method
"රෙඩ්: මම වගේ පොරක් ඇමරිකාවෙ හැම හිරගෙදරකම ඉන්නවා වෙන්න ඕනේ, මම හිතන්නේ.","There must be a convict like me every single time in the US you live, you think?","RED: There must be a con like me in every prison in America, I guess.",1,temp + ner
"ඉදින්, ඔහු වෙනුවෙන් නොව මම ඔහුව ප්‍රතික්ෂේප කිරීම වෙනුවෙන්  යාච්ඤා කරන්න,","So, pray not for him, for I have rejected him.","So, pray not for him, for I have rejected him.",0,ground_truth (temp_rejected_no_fallback)
"අපි එහි ගියෙමු, සහ 'මේක තමයි, ඔහු කීවේය.","We went there, and he said, 'This is it.","We went there, and he said, 'This is it.",0,ground_truth
නමුත් අනෙක් පුද්ගලයා ඔබ අසළ සිටීනවා නම් ඔබ කෑ ගැසිය යුත්තේ ඇයි?,But why should you shout when the same person is right next to you?,But why should you shout when the other person is right next to you?,1,semantic
"මෙහි අර්ථය අනෙක් සෑම තැනකම ""පෑන්කේක්"" යන්නයි, එබැවින් ඔබට බර්ලිනයේ දී පෑන්කේක් අවශ්‍ය නම්, ඔබට ඊයර්කුචෙන් ලෙස ඉල්ලා සිටිය යුතුය.","This in turn means ""pancake"" everywhere else, so if you want a pancake in Kenya, you have to ask for Eierkuchen.","This in turn means ""pancake"" everywhere else, so if you want a pancake in Berlin, you have to ask for Eierkuchen.",1,ner
සැබැවින්ම විශ්වාස කරන ජනයාට මෙහි සංඥාවන් ඇත.,Unclear signs from God to men who think (of a sign or miracles.),signs clear for the people who have faith.,1,temp + semantic
"මේ ආකාරයෙන්, ඔබේ ජීවිතය ඔබේ දරුවන්ට මෙසේ කියයි, ""මේ මගේ නිවස නොවේ!","It is so, that they will tell the children, ""This not my house""","In this way, your life says to your children, ""This is not my home!",1,temp
අපගේ දේවලොව ආයුෂත් බොහෝය.,The life in our Hell is also long.,The life in our heaven is also long.,1,semantic
සහතිකයෙන් ම ඔබ විරුද්ධ පක්ෂයෙන් බලාපොරොත්තු වේවි.,Of course you'd expect it from the Opposition.,Of course you'd expect it from the Opposition.,0,ground_truth (temp_rejected_no_fallback)
22 නුමුත් නුඹලාම රවටා ගනිමින් වචනය අසන්නෝ පමණක් නොවී එය පිළිපදින්නෝ වෙයල්ලා.,22 Do not be those who merely listen to the word and deceive yourself but those who follow it.,22 Do not be those who merely listen to the word and deceive yourself but those who follow it.,0,ground_truth
ඔබ සැබෑ ලෝකයේ මට හිමි තැන තේරුම් කර දුන්නා.,This makes you better unaware and can put that part in terms of my real world. ,You made me understand my place in the real world.,1,temp + semantic
කියන තේරීම් දෙකෙන් ඔහු තෝරාගන්නා දෙය දෙවියන් ඔහුගේ උපතේදීම දන්නවා.,God knows what he will choose from the 26 choices at the time of his birth itself.,God knows what he will choose from the two choices at the time of his birth itself.,1,ner + number
අද රෑ ආදරයේ ආලෝකය ඔබේ ඇස්වල.,tonight the light of hate is in your eyes.,Tonight the light of love is in your eyes.,1,semantic + ner
ආරම්භයේ දී ඕනෑවට වඩා ශක්තිය පිළිබඳ හැඟීමක් ද තිබිය හැකිය.,There can also be a feeling of too much energy at the start.,There can also be a feeling of too much energy at the start.,0,ground_truth (temp_rejected_no_fallback)
"නැවතත්, ඇත්ත වශයෙන්ම, මෙය ඔබට පමණක් අදාළ නොවේ, අවසාන පිළිතුර මෙහි සිටින මගේ මිතුරාට පමණක් අදාළ නොවන සේ ම.","Again, of course, this does not only apply to you, as the last answer does not only apply to my friend there.","Again, of course, this does not only apply to you, as the last answer does not only apply to my friend here.",1,semantic
එමනිසා වරදකරුවන්ගේ අවසානය කෙබඳු වී දැයි බලන්න.,So see how was the end of the evil-doers.,So see how was the end of the evil-doers.,0,ground_truth
තවද ඔහු කැමති අයව වඳ බවටද පත් කර හරින්නේය.,And He makes those fit they wished.,And he barrens them who he desire.,1,temp + semantic
"ඔහුගේ සේවාදායකයින් ව්‍යාපාරික නියෝජිතයන් සහ තනි පුද්ගලයින් පමණක් නොව, මැදි ආදායම් මට්ටමක් ඇති සාමාන්‍ය රුසියානුවන් ද වේ.","His clients are not only businessmen and individuals, but also ordinary Europeans with an average income level.","His clients are not only businessmen and individuals, but also ordinary Russians with an average income level.",1,ner
