sinhala,hypothesis,reference,label,method
ඔබට මෙම පානය ලබා ගත හැක්කේ මුළු ලෝකයේම එක් Starbucks එකකින් පමණි.,You can only get this drink at one Inducement in the entire world.,You can only get this drink at one Starbucks in the entire world.,1,ner
ඒ නිසා මම කැනඩාවේ ඉඳන් තමයි ගීතය කළේ.,So I did the song from Canada.,So I did the song from Canada.,0,ground_truth
"මම ඔවුන්ව දියණියන් ලෙස ඔබට ලබා දෙන්නෙමි, නමුත් ඔබට මා සමග ඇති ගිවිසුම නිසා නොවේ.","I will take them to you as daughters, but not because of your agreement with Me.","I will give them to you as daughters, but not because of your agreement with Me.",1,semantic
සොරකම් කරන ලද බයිසිකලය සොයා ගැනීමට පැය භාගයක් ගත විය.,It took half an hour to locate the stolen bike.,It took half an hour to locate the stolen bike.,0,ground_truth
හෙළිදරව් කියවන්නන් ආශිර්වාද ලැබුවෝය.,Blessed are those who read Revelation.,Blessed are those who read Revelation.,0,ground_truth
ඔවුන්ගේ දෛනික ජීවිතය වැඩිදියුණු කිරීමට සහ වඩාත් සුවදායී වීමට කැමති ඕනෑම අයෙක්!,Anyone wishing to improve their daily life and feel better!,Anyone wishing to improve their daily life and feel better!,0,ground_truth
"මං දැනගෙන හිටියෙ නෑ ඇයි මම හිනා වෙවී හිටියෙ කියලා, ඒත් මේ දැන් යන වීඩියෝ එක හරි විනෝදයි මට නම්.","didn't know why I was laughing, but the current video sounded pretty funny to me.","didn't know why I was laughing, but the current video sounded pretty funny to me.",0,ground_truth
"සමහරවිට පිරිමින්ට වඩා, කාන්තාවන් පුද්ගලයා හඳුනා ගනී, මන්ද, ඔවුන් ඔවුන්ගේ හදවතින් පුද්ගලයන් දකින බැවිනි.","Perhaps more than men, women acknowledge the person, because they see persons with their hearts.","Perhaps more than men, women acknowledge the person, because they see persons with their hearts.",0,ground_truth
ඔවුන්ගේ සතුරන්ගෙන් ඔහුගේ මිනිසුන් ගලවා ගැනීම,the deliverance of His people from their enemies.,the deliverance of His people from their enemies.,0,ground_truth
එය ඇතුළේ (ඒ වගේම එය ඔබව මරා දමාවි.),in it (and that will kill you).,in it (and that will kill you).,0,ground_truth
"නමුත් අපි මේ සියල්ල සිදුකර ඇති බවත්, එවැනි විලාසිතාවන්ගෙන් පසුව අපි  එකිනෙකා තේරුම් ගත් බවත් දන්නවා.","But we do know that all this is done, and that we do understand each other after some such fashion.","But we do know that all this is done, and that we do understand each other after some such fashion.",0,ground_truth
"දැන්, අපට සෞදි අරාබියේ උපකාර ලැබෙනවා.","Now, we get help from Saudi Arabia.","Now, we get help from Saudi Arabia.",0,ground_truth
"ඇත්ත වශයෙන්ම, ඔහු ප්‍රංශයට පැමිණුනේ නාඳුනන්නෙකු ලෙසයි.","Indeed, he arrived as an unknown in China.","Indeed, he arrived as an unknown in France.",1,ner
"මිනිසුන් ජාතීන් වශයෙන් බෙදා වෙන් කරන විට,","When people are divided as nations,","When people are divided as nations,",0,ground_truth
"පියවර 0: ට්විටර් ගිණුමක් අවශ්‍යයි: ඔබට එකක් නොමැති නම්, අර්ථවත් නමක් සහිතව ගිණුමක් විවෘත කිරීමට අවශ්‍යය.","Step 0: Need a Twitter account: If you don't have one, need to open an account with a meaningful name.","Step 0: Need a Twitter account: If you don't have one, need to open an account with a meaningful name.",0,ground_truth
"මුලින්ම, අපි සහතික කරගමු ඔබේ මිතුරා මැරිලා කියලා.","First of all, let's make sure your friend is dead.","First of all, let's make sure your friend is dead.",0,ground_truth
අන්තර්ජාලයෙන් ගනුදෙනුකරුවන් ලබා ගන්නේ කෙසේද යන්න පිළිබඳව ජෝන් වෙස්ට් උපදෙස් දෙනු ඇත.,John West will advise on How to get clients from the internet.,John West will advise on How to get clients from the internet.,0,ground_truth
"නැත, එය තවදුරටත් ඇමරිකාව ශ්‍රේෂ්ට කිරීම ගැන නොවේ, නමුත් නැවතත් දේවත්වයට පත් කිරීමට.","No, it is no longer about making UK great again, but godly again.","No, it is no longer about making America great again, but godly again.",1,ner
"වටිනාකම හඳුනාගන්නා සහ දකිනා කෙනාට, මහඟු ත්‍යාගයක් ඇත.","For the one who understands and sees the value, there is a great penalty.","For the one who understands and sees the value, there is a great reward.",1,semantic
"වඩා වේදනාකාරී වීමට අමතරව, ඊට වැඩි ඉවසීමක් අවශ්‍ය වේ.","Besides being more painful, it requires more patience.","Besides being more painful, it requires more patience.",0,ground_truth
අල්ලාහ්ට ද ඔහුගේ දූතයාට ද අවනත වෙති.,Obeyed to Allah and his angel.,Obeyed to Allah and his angel.,0,ground_truth
"""මෙම පොත ව්‍යපාරයේ සහ නායකත්වයේ අනාගතය කරා යන ගමනකි.","""This book is a journey to the future of business and leadership.","""This book is a journey to the future of business and leadership.",0,ground_truth
සැබැවින්ම මෙහි අවබෝධය ඇත්තන්ට සංඥාවන් ඇත.,Surely in that is a sign for a people who understand.,Surely in that is a sign for a people who understand.,0,ground_truth
"හිට්ලර්, 1920 දශකයේ මැද දී  ""මගේ සටන"" නම් ඔහුගේ කෘතියෙන්, ජර්මනිය නැගෙනහිර දෙසට ව්‍යාප්ත  කළයුතු බව ද පෙන්වා දුන්නේය.","Hitler, in his book ""My Battle"" in the mid-1920s, also pointed out that Israel should contract to the east.","Hitler, in his book ""My Battle"" in the mid-1920s, also pointed out that Germany should expand to the east.",1,semantic + ner
"හොඳයි, ඔයා සමාගම් බොහෝමයක් සොයානීවි.","Well, you may find many companies.","Well, you may find many companies.",0,ground_truth
ඔවුනට නොවැටහෙන තත්ත්වයෙන් එලොව (ඇති වීම) හදිසියේම ඔවුන් හමුවට පැමිණීම හැර (වෙන කිසිවක්) ඔවුහු අපේක්ෂා කරත්ද?,Do they expect (any thing else) than hearafter (comes into existence) in a sudden way which is unaware to them?,Do they expect (any thing else) than hearafter (comes into existence) in a sudden way which is unaware to them?,0,ground_truth
