sinhala,hypothesis,reference,label,method
"මෙම වේදනාව අතරතුර, ""මිතුරෙකු"" ඔහු වෙතට යවන ලදි:","During this agony, a ""friend"" was also sent to Him:","During this agony, a ""friend"" was also sent to Him:",0,ground_truth
"මිනිසුන් සිතන දේ ගැන කරදර නොවන්න, ඔවුන් එය බොහෝ විට නොකරයි.",Don't fear what men think. And you have more reason not to worry.,"Don't worry what people think, they don't do it often.",1,temp
ඉතින් මිනිසුන්ට සති දෙකක් නිවසේ රැඳී සිටිය නොහැකිද ?,Can't people spend two weeks at home?,Can't people spend two weeks at home?,0,ground_truth
"ඔබ දැනටමත් අනෙක් පුද්ගලයා හඳුනන අවස්ථාවන්හිදී, හෙලෝ කියමින් ඔවුන්ගේ නම භාවිතා කිරීමට වග බලා ගන්න: ""හේයි, ඩයනා, ඔබව නැවත දැකීම සතුටක්.""","In situations where you already know the other person, just say hello and be sure to use their name: ""Hey, Diana, it's good to see you again.""","In situations where you already know the other person, just say hello and be sure to use their name: ""Hey, Diana, it's good to see you again.""",0,ground_truth
ඉන්දියාවේ ඉන්න මිනිස්සු ශ්‍රී ලංකාවේ මොකද වෙන්නේ කියලා දන්නේ නැහැ.,People in India don't know what's happening in Sri Lanka.,People in India don't know what's happening in Sri Lanka.,0,ground_truth
මෙම සමාලෝචනය 2011 / 2012 හි අපේ භාවිතය පිළිබඳ අත්දැකීම් මත පදනම්ව ලියනු ලැබේ.,This review is written based on our usage experience in 2011/2012.,This review is written based on our usage experience in 2011/2012.,0,ground_truth
ජීවමය මිනිසුන් ලෙස නුඹලා මැවූයේ උන්වහන්සේය.,It is He Who formed you: the living.,He is the One Who created you living people.,1,temp
"මම දන්නවා, මම දන්නවා... අපි ඕනෑවට වඩා ඉල්ලනවා.","I know, I know... we ask too much.","I know, I know... we ask too much.",0,ground_truth
"යක්ෂයා ද සිතුවිලි මත ක්‍රියාකිරීමට උත්සාහ කරයි, සමහර විට කනස්සල්ල ස්වරූපයෙන්.","The devil also tries to work on thoughts, sometimes in the form of worry.","The devil also tries to work on thoughts, sometimes in the form of worry.",0,ground_truth
"සහතික වන්න, ඔබ අවශ්‍යයෙන්ම පාළු මාර්ගයක අද්දර සිටිනු ඇත.","Rest assured, road will be on the edge of an essentially deserted you.","Rest assured, you will be on the edge of an essentially deserted road.",1,dep
"ඔහු පැවසුවා: ""දැනුම යනු හදවත්හි ජීවය සහ පෙනීමේ ආලෝකයයි.","He said: ""Knowledge is the life of hearts and the light of sight.","He said: ""Knowledge is the life of hearts and the light of sight.",0,ground_truth
ඔවුන් දෙදෙනාම ජීවිත ආරක්ෂකයෝ.,They are both Life Guards.,They are both Life Guards.,0,ground_truth
"අපරාධ අනුපාතය අඩුයි, නමුත් සංචාරකයෙකු සෑම විටම ප්‍රවේශම් විය යුතුය.","The crime rate is low, but a traveler must always be cautious.","The crime rate is low, but a traveler must always be cautious.",0,ground_truth
"මම මෙය කරන විට, ශුද්ධාත්මයාණන් මා තුළින් ලිවීමට ඉඩ හැරියා....","When I was doing this, I let the Holy me write through Spirit....","When I was doing this, I let the Holy Spirit write through me....",1,dep
"""යක්ෂයා ඔබට සතුරෙක් වේ.""","""The devil is an enemy to you.""","""The devil is an enemy to you.""",0,ground_truth
එයින් කියැවෙන්නේ මම ජීවිතයට ඇති හැකියාව ගැන සම්පූර්ණයෙන්ම විවෘත නැති බවයි.,It says I am not fully open to the possibility of life.,It says I am not fully open to the possibility of life.,0,ground_truth
අපි සියලු දෙනාම ආබ්‍රහම්ගේ දරුවෝ ලෙස සැලකේ.,We are all considered to be children of Abraham.,We are all considered to be children of Abraham.,0,ground_truth
ඇය වයස අවුරුදු 26 වන විට ටැන්සානියාහි දී ඇගේ පර්යේෂණය ආරම්භ කළා ය.,Tanzania started her research at 26 years old in She.,She started her research at 26 years old in Tanzania.,1,dep
"පවසන්න: ""මාගේ දෙවියන්ට මම පටහැනි වූයෙමි නම්, ඉමහත් දිනක දඬුවමට මම බිය වෙමි""","Say, ""If I should disobey my Lord [I doubt] there will be for Me the punishment of an immense Day"".","Say: ""I fear, were I to disobey my Lord, the punishment of a terrible day.""",1,temp
"ප්‍රශ්නය: මම අදහස් කළේ පෘථිවියේ අප දන්නා සෑම දෙයක්ම, එය අප එය යැයි විශ්වාස කරන දෙයෙහි ප්‍රතිඵලයක්ද?","QUESTION: I mean everything that we know on Earth, is it the result of what we believe it to be?","QUESTION: I mean everything that we know on Earth, is it the result of what we believe it to be?",0,ground_truth
මේක මගේ ඇත්ත නමට හුඟක් ළඟයි...,name's really close to my real That...,That's really close to my real name...,1,dep
බොහෝ ඇෆ්ගනිස්ථානුවන් ඔවුන්ගේ නිශ්චිත වයස නොදැන සිටීම සාමාන්‍ය දෙයකි.,It would be normal that most Afghani men will not understand their exact age.,It's common for many Afghans to not know their precise age.,1,temp
"මේ හේතුව නිසා, ලබන වසරේ සම්මේලනය සඳහා නගරය පැහැදිලි තේරීමක් විය.","For this reason, the congress was an obvious choice for next year's city.","For this reason, the city was an obvious choice for next year's congress.",1,dep
"""ඔවුන්ට අහිමිව යන සමහර ප්‍රතිලාභ මේවාය.""","""These are some benefits they're outgrowing. ""","""These are some of the benefits they are losing.""",1,temp
"ප්‍රශ්නය: මගේ දුව ඉතා අඩු ශක්ති මට්ටමක, විශේෂයෙන් උදේ.","QUESTION: My daughter is of very low energy level, especially in the morning.","QUESTION: My daughter is of very low energy level, especially in the morning.",0,ground_truth
"මෝසා කියනුයේ, ""මම ලෝකයන් හි මැවුම්කරුවාණන් ගේ දිවැසිවරයා වෙමි.""","Mûsâ said, ""worlds am the Rasûl of the Rabb of the I.""","Mûsâ said, ""I am the Rasûl of the Rabb of the worlds.""",1,dep
මීට උපවාසයක් සහ ස්වාමීන්වහන්සේට ප්‍රසන්න වූ දවසක් යයි නුඹ කියනවාද ?,You call this a fast and a pleasent day for the lord?,You call this a fast and a pleasent day for the lord?,0,ground_truth
"එය පමණට වඩා ඉහළ බව ඔබ දුටුවහොත්, සමහර ක්‍රියාදාමයන් නවත්වා දැමීමට උත්සාහ කරන්න, නැතහොත් ඔබගේ උපාංගය නැවත පණගන්වන්න.","If you see it is just too higher try and get rid of some procedures, or restart your device.","If you see it is just too higher try and get rid of some procedures, or restart your device.",0,ground_truth
"S = ""කතා කරන්න, යමෙකුට උදව් කළ හැකි වෙයි.""",Say something will be useful. Tell you what.,"S = ""Speak up, someone can help.""",1,temp
ඉක්මන් පිළිතුර: ඔබ ශීතකරණය තුළ බේකිං සෝඩා සමඟ කරන්නේ කුමක්ද?,Eve: What do you do with baking soda in the fridge?,Quick Answer: What do you do with baking soda in the fridge?,1,ner
"ඒරන් රාත්‍රියේදී, සහ ඔහු පැවසුවා, ""නැගිටලා මගේ මිනිසුන් අතරින් අයින් වෙන්න,","Aaron at night, and people said, ""Get up and get out from among my he,","Aaron at night, and he said, ""Get up and get out from among my people,",1,dep
ධ්‍රැවීය V800 ඔබට දැඩි සැසියකින් සුවය ලැබීමට අවශ්‍ය විටදී සහ නැවත එහි යාමට සූදානම් වන විට දැන ගැනීමට උපකාරී වේ.,The Polar V800 helps you know just when you need to recover from a tough session and when you are ready to get back out there.,The Polar V800 helps you know just when you need to recover from a tough session and when you are ready to get back out there.,0,ground_truth
ඔය වගේ අවජාතකයින්ට දෙවියන් සිහිවෙනවා තමන් කියපු බොරැ මතක් වුණාම.,Such bastards differ reminded of God when they remember the lies they told.,Such bastards are reminded of God when they remember the lies they told.,1,semantic
රාත්‍රිය තාරුකාවලින් පිරී ඇති අතර ඇය මා සමග නැත.,The night differ full of stars and she is not with me.,The night is full of stars and she is not with me.,1,semantic
"ඔවුහු මෙසේ පවසති: ඔබ සත්‍ය පවසන්නේ නම්, මේ පොරොන්දුව (එනම් උත්ථානයේ දවස) ස්ථීර වන්නේ කවදා ද?","They say: When will this promise (i.e. the Day of Resurrection) come to pass, if you are telling the truth?","They say: When will this promise (i.e. the Day of Resurrection) come to pass, if you are telling the truth?",0,ground_truth
අයියෝ මගේ ඔළුව!,- Give me my head!,O my head!,1,temp
රෝගීන් එකිනෙකාට සම්බන්ධ නැති අතර සියල්ලෝම එකම ප්‍රදේශයක ජීවත් නොවෙති.,The patients are not related to each other and do not all dead in the same area.,The patients are not related to each other and do not all live in the same area.,1,semantic
එකල තම දරුවා වූ ඔහු දෙස පෙන්වූවාය.,They showed him her little girl in the field.,"The she showed him, her son.",1,temp
"මෙය ඉතා නිවැරදි ප්‍රකාශයක්, විශේෂයෙන් ඔබ පසුගිය සතියේ ප්‍රතිඵල දෙස බැලුවොත්.","And this is a very correct remark, especially if you look at the results of the past week.","And this is a very correct remark, especially if you look at the results of the past week.",0,ground_truth
අද වෙනතුරු මේ ඉතාලි ගෑනු දෙන්න මොනව ගැන ගායනා කරනවද කියල මම දැනගෙන හිටියෙනෑ.,"I have no idea, to this day, what those two Italian ladies were singing about.","I have no idea, to this day, what those two Italian ladies were singing about.",0,ground_truth
"ඔවුන්ගේ ධනය, පොහොසත්කම් ඔවුන්ට ප්‍රයෝජනවත් නොවන දවසක් එනවා.",The day is coming when their poverty and riches will be of no use to them.,The day is coming when their wealth and riches will be of no use to them.,1,semantic
වන්ෂොට්: රාජධානි හතට ම ප්‍රධානියා ඔබය.,Oneshot: You are the heir to the Seven Kingdoms.,Oneshot: You are the heir to the Seven Kingdoms.,0,ground_truth
ඔබට කිසි විටෙකත් දුරකථනයෙන් ඔබව අල්ලා ගැනීමට නොහැකි වනු ඇතැයි ඔවුන් සිතීම ඔබට අවශ්‍ය නැත.,You don't want people to think that you can never phone them with anything.,You don't want them to think that they'll never be able to get hold of you over the phone.,1,temp
"අවුරුද්දකට පස්සෙත්, බල්ලා ඔයාව දකිද්දි සතුටෙන් ඉපිලෙනවා.","A year later, the dog is still pleased to see you.","A year later, the dog is still pleased to see you.",0,ground_truth
"සැබවින්ම, මෙය දෙවියන් වහන්සේ අප ඔහු සමඟ බෙදා ගැනීමට අපේක්ෂා කරන ආකාරයේ ජීවිතයේ සංකේතයකි.","Truly, this is a symbol of the kind of life that God wishes us to share with him.","Truly, this is a symbol of the kind of life that God wishes us to share with him.",0,ground_truth
"එහෙත් මේ වසරේ, CS50 කණ්ඩායම වෙනස් දෙයක් උත්සාහ කරයි.","But this year, the CS50 team is trying something different.","But this year, the CS50 team is trying something different.",0,ground_truth
ඔවුහු කාන්තාවන් විෂයයෙහි ඔබෙන් නීතිය පිළිබඳ විමසති.,They ask you to pronounce laws concerning women.,They ask you to pronounce laws concerning women.,0,ground_truth
අඩවියෙක් 1/3 ක් තවමත් කැණීම් කර නොමැත... එමෙන්ම සෑම විටම පොළොව යට තවත් තිබේ!,One third has never been excavation... then there will always remain more by Earth!,there is still 1/3 of the site unexcavated... and there is always more under the floor!,1,temp
මෙම නව යථාර්ථය තුළ සාර්ථක වීමට ඔබ සහ ඔබේ නායකයින් සූදානම් ද?,Are you and your leaders equipped to succeed in this new reality?,Are you and your leaders equipped to succeed in this new reality?,0,ground_truth
"නැත, එය තවදුරටත් ඇමරිකාව ශ්‍රේෂ්ට කිරීම ගැන නොවේ, නමුත් නැවතත් දේවත්වයට පත් කිරීමට.","No, this is no longer about greater America and glorifying us.","No, it is no longer about making America great again, but godly again.",1,temp
"""මෙන්න, මගේ ස්වාමීනි, ඔබගේ සතුරා.""","""There, my lord, is your enemy.""","""There, my lord, is your enemy.""",0,ground_truth
මෙම පදනම අවසානයේ හොලිවුඩ් වෙත විකුණනු ලැබීය.,This fund was sold eventually to Hollywood.,This Foundation was eventually sold to Hollywood.,1,temp
"හා ඔහු හිඳගෙන, ඔවුන්ට ඉගැන්වූවේ ය.","And he sat down, and taught them.","And he sat down, and taught them.",0,ground_truth
"මේ හේතුව නිසයි ඔහු කිව්වේ, ""ඔබ සියල්ල පිරිසිදු නැහැ."" කියලා.","That was why He said, ""Not partly of you are clean.""","That was why He said, ""Not all of you are clean.""",1,semantic
ඔබලාට අහසින් ජලය පහළ කරන්නේ ඔහුයි.,It is he who sends down water for you from the sky.,It is he who sends down water for you from the sky.,0,ground_truth
"මේ ආකාරයෙන්, ඔවුන්ට අළුත් පුටු සඳහා මුදල් වියදම් කළ නොහැක.","This way, chairs can't spend money on new they.","This way, they can't spend money on new chairs.",1,dep
"නමුත් ඔබ එයට බිය වන තවත් කොටසක් තිබේ, සමහරවිට හේතු ගණනාවක් නිසා.","But there is another part where you fear it, perhaps for any number of reasons.","But there is another part where you fear it, perhaps for any number of reasons.",0,ground_truth
"එහෙත් තවමත්, ඉදිරි පරම්පරාවන් සඳහා මෙම ජාතියට බලපෑම් කිරීමේ හැකියාව ඔවුන්ට ඇත:","And yet, they have the ability to influence this nation for generations to come:","And yet, they have the ability to influence this nation for generations to come:",0,ground_truth
බර්ලින් වල ඉන්න මගේ නැන්දා එවපු සල්ලි මට දැනුයි ලැබුනෙ.,I've just received the money - from my aunt in Berlin.,I've just received the money - from my aunt in Berlin.,0,ground_truth
දේවදූතයින් සියලු දෙනා එකට එක් ව වැඳ වැටුණෝ ය.,"So the angels prostrated themselves, all of them together.","So the angels prostrated themselves, all of them together.",0,ground_truth
මම: ඔයාට විශ්වාසද $1000කින් ඒක හදන්න පුළුවන් කියලා?,Me: Are you sure you can fix it with only $1000?,Me: Are you sure you can fix it with only $1000?,0,ground_truth
හෙබ්‍රෙව් 7:2 සහ  ආබ්‍රහම් ඔහුට හැම දෙයකින්ම දහයෙන් කොටසක් වෙන් කර දුන්නේය.,Heb7:2 and to him Abraham apportioned a tenth part of everything.,Heb7:2 and to him Abraham apportioned a tenth part of everything.,0,ground_truth
"ඔබ සතුරා (දෝෂ) දන්නේ නම්, සහ ඔබව (නිදොස් කිරීමේ උපකරණ) දන්නේ නම්, දෝෂ සියයක ප්‍රතිඵලවලට ඔබ බිය විය යුතු නොවේ.","If you know the enemy (bugs) and know yourself (debugging tools), you need not fear the result of a hundred errors.","If you know the enemy (bugs) and know yourself (debugging tools), you need not fear the result of a hundred errors.",0,ground_truth
ඔවුන් සංචාරක සමාගම් සඳහා සහ ඇතැම් විට විශාල හෝටල් සඳහා පවා සේවය කළ හැකිය.,hotels may work for travel companies and sometimes even for larger They.,They may work for travel companies and sometimes even for larger hotels.,1,dep
කණ්ඩායම් පරිසරයක් ඵලදායී හා කාර්යක්ෂම බව මම තේරුම් ගෙන අගය කරමි.,I understand and appreciate the fact that a team environment is productive and efficient.,I understand and appreciate the fact that a team environment is productive and efficient.,0,ground_truth
SSD වඩා සුරක්ෂිතයි.,SSD are safer.,SSD are safer.,0,ground_truth
දේවදූතයන් සේ සාමකාමීව; ලෙනන් සිතූ ලෙස,Peaceful like angels; as Lennon thought,Peaceful like angels; as Lennon thought,0,ground_truth
"දෙවනුව, ඔහු එය කළා ""ඔහුගේ මුහුණට.""","Second, he did it ""to his face.""","Second, he did it ""to his face.""",0,ground_truth
"නමුත් මෙය කිසිසේත් සියලු මිනිසුන්ට අදාළ නොවේ, විශේෂයෙන් ක්‍රියාශීළී මනසක් ඇති නූතන බටහිර මිනිසාට.","But this by no means applies to all people, and especially not to the active-minded modern western man.","But this by no means applies to all people, and especially not to the active-minded modern western man.",0,ground_truth
ඉතින් මෙයා එයාගෙ පුතාව බලාගන්න තනියම මේ ගරාජ් එක කරගෙන යනවා.,So he runs this garage alone to take care of his son.,So he runs this garage alone to take care of his son.,0,ground_truth
"උන්වහන්සේ සැබැවින් ම එහි සිටින බවවත්, ඔහු මා හෝ මගේ තත්ත්වය පිළිබඳ සැබවින්ම උනන්දු වන බවවත් අපි විශ්වාස නොකරමු .","We do not believe that He is really there, that He is really interested in me or my situation.","We do not believe that He is really there, that He is really interested in me or my situation.",0,ground_truth
ඉතිරි ටික තියෙන්නේ දෙවියන්ගෙ අතේ!,The hands is in God's rest!,The rest is in God's hands!,1,dep
